"Sol: Wavelength (nm)","Sol: Intensity (rel)","Blå himmel: Wavelength (nm)","Blå himmel: Intensity (rel)","Grøn plante: Wavelength (nm)","Grøn plante: Intensity (rel)","Grøn plante 2: Wavelength (nm)","Grøn plante 2: Intensity (rel)","Klippe: Wavelength (nm)","Klippe: Intensity (rel)"
574,0.600156880157,574,0.114638694639,574,0.103385873386,574,0.115692455692,574,0.255451955452
575,0.583437303437,575,0.111993191993,575,0.100365930366,575,0.112623672624,575,0.250063270063
576,0.578903318903,576,0.111366411366,576,0.10012987013,576,0.112668442668,576,0.251955821956
577,0.578252118252,577,0.111057091057,577,0.0995030895031,577,0.113795833796,577,0.253693713694
578,0.561247641248,578,0.108826728827,578,0.0964424464424,578,0.111052651053,578,0.2492004292
579,0.557348577349,579,0.109184889185,579,0.0962226662227,579,0.11185037185,579,0.25160987161
580,0.557104377104,580,0.109347689348,580,0.0970773670774,580,0.113014393014,580,0.255769415769
581,0.553714063714,581,0.109583749584,581,0.0970529470529,581,0.113169053169,581,0.256681096681
582,0.556306656307,582,0.110015170015,582,0.0971262071262,582,0.114463314463,582,0.260327820328
583,0.556762496762,583,0.109762829763,583,0.0975739075739,583,0.114658674659,583,0.262916342916
584,0.556200836201,584,0.108883708884,584,0.096995966996,584,0.115236615237,584,0.264031524032
585,0.541418581419,585,0.105977725978,585,0.0942690642691,585,0.11193991194,585,0.257674177674
586,0.535960705961,586,0.103173493173,586,0.092987012987,586,0.110629370629,586,0.254788544789
587,0.545407185407,587,0.103959003959,587,0.0933736633737,587,0.112623672624,587,0.258952158952
588,0.531064491064,588,0.098147038147,588,0.0899222999223,588,0.108114108114,588,0.250112110112
589,0.494263514264,589,0.0906989306989,589,0.0830684130684,589,0.101105561106,589,0.23257039257
590,0.512375032375,590,0.09332001332,590,0.0858685758686,590,0.10498020498,590,0.241402301402
591,0.519245199245,591,0.0939305139305,591,0.0871628371628,591,0.105843045843,591,0.246278166278
592,0.52767010767,592,0.0942316942317,592,0.0878954378954,592,0.107479187479,592,0.249322529323
593,0.526335146335,593,0.0932467532468,593,0.0875535575536,593,0.107023347023,593,0.248646908647
594,0.522607022607,594,0.090821030821,594,0.0865279165279,594,0.105794205794,594,0.245960705961
595,0.517096237096,595,0.0889813889814,595,0.0847371147371,595,0.104711584712,595,0.242598882599
596,0.521866281866,596,0.0896407296407,596,0.0849568949569,596,0.105948865949,596,0.244487364487
597,0.517743367743,597,0.0875935175935,597,0.0844522144522,597,0.104597624598,597,0.242151182151
598,0.51462981463,598,0.0873126873127,598,0.0837033337033,598,0.104182484182,598,0.241027861028
599,0.50963998964,599,0.0861893661894,599,0.0827590927591,599,0.104117364117,599,0.239977799978
600,0.503478003478,600,0.0849032449032,600,0.0825148925149,600,0.103344063344,600,0.236876456876
601,0.494515854516,601,0.083201983202,601,0.0810171310171,601,0.101333481333,601,0.234556554557
602,0.482822732823,602,0.0816960816961,602,0.0798368298368,602,0.100604950605,602,0.23082029082
603,0.483722203722,603,0.082037962038,603,0.0807566507567,603,0.101707921708,603,0.234906574907
604,0.485122285122,604,0.0818426018426,604,0.0808217708218,604,0.102644022644,604,0.235858955859
605,0.479416139416,605,0.0807518407518,605,0.0798531098531,605,0.10121952122,605,0.234564694565
606,0.476803196803,606,0.0796366596367,606,0.0792019092019,606,0.101154401154,606,0.233636733637
607,0.470706330706,607,0.0788226588227,607,0.0772157472157,607,0.0997136197136,607,0.23082029082
608,0.463445443445,608,0.076519036519,608,0.0763203463203,608,0.097930957931,608,0.22694971695
609,0.462476782477,609,0.0755015355015,609,0.0752295852296,609,0.0977193177193,609,0.226522366522
610,0.455631035631,610,0.0740933140933,610,0.0734387834388,610,0.0967587967588,610,0.223616383616
611,0.458138158138,611,0.0741421541422,611,0.0736504236504,611,0.0974588374588,611,0.224446664447
612,0.45217967218,612,0.0728316128316,612,0.0725596625597,612,0.0960994560995,612,0.222411662412
613,0.442761682762,613,0.070934990935,613,0.0709235209235,613,0.0934295334295,613,0.21834979835
614,0.438622488622,614,0.0703407703408,614,0.0700444000444,614,0.0933033633034,614,0.218158508159
615,0.432033152033,615,0.0697791097791,615,0.0694908794909,615,0.0929004329004,615,0.216632256632
616,0.416371776372,616,0.0671661671662,616,0.0670081770082,616,0.0899374699375,616,0.210641210641
617,0.41441003441,617,0.0663847263847,617,0.0665116365116,617,0.090083990084,617,0.21042957043
618,0.417486957487,618,0.0671254671255,618,0.0671546971547,618,0.0919724719725,618,0.214483294483
619,0.412944832945,619,0.0662382062382,619,0.0665441965442,619,0.0910038110038,619,0.213213453213
620,0.413787323787,620,0.0653835053835,620,0.0667110667111,620,0.0921434121434,620,0.214202464202
621,0.406440966441,621,0.0647648647649,621,0.0658197358197,621,0.0905072705073,621,0.211048211048
622,0.401190661191,622,0.0630961630962,622,0.0648185148185,622,0.0892455692456,622,0.208874828875
623,0.394857734858,623,0.0621193621194,623,0.0634754134754,623,0.0886350686351,623,0.206432826433
