"Traeplanke: Wavelength (nm)","Traeplanke: Intensity (rel)","Sol direkte: Wavelength (nm)","Sol direkte: Intensity (rel)","Blaa himmel: Wavelength (nm)","Blaa himmel: Intensity (rel)"
641,0.0303041403041,641,0.469704739705,641,0.0146753246753
642,0.0298788248788,642,0.468192733193,642,0.0144555444555
643,0.0300172050172,643,0.469605024605,643,0.0145247345247
644,0.0298544048544,644,0.466043771044,644,0.014541014541
645,0.0293253043253,645,0.458957893958,645,0.0142439042439
646,0.0287677137677,646,0.449499204499,646,0.0136334036334
647,0.0283525733526,647,0.442706367706,647,0.0132182632183
648,0.0282406482406,648,0.436035631036,648,0.0129903429903
649,0.0275304325304,649,0.429067784068,649,0.0126525326525
650,0.0278682428682,650,0.429275354275,650,0.0130595330595
651,0.0278926628927,651,0.430056795057,651,0.0127787027787
652,0.0280595330595,652,0.428815443815,652,0.0128275428275
653,0.0281897731898,653,0.427777592778,653,0.012856032856
654,0.027331002331,654,0.419491064491,654,0.0125792725793
655,0.0252675102675,655,0.397232212232,655,0.0117693417693
656,0.0237351537352,656,0.368727938728,656,0.0106399156399
657,0.0247628297628,657,0.377765382765,657,0.011398971399
658,0.0266757316757,658,0.403255818256,658,0.0120542420542
659,0.0267571317571,659,0.404045399045,659,0.0120623820624
660,0.0271030821031,660,0.405901320901,660,0.0120583120583
661,0.027099012099,661,0.40533966034,661,0.012212972213
662,0.0268751618752,662,0.403561068561,662,0.012274022274
663,0.0263094313094,663,0.397553742554,663,0.0119850519851
664,0.0262321012321,664,0.392474377474,664,0.0118914418914
665,0.0264457764458,665,0.394307914308,665,0.0118426018426
666,0.0262036112036,666,0.391082436082,666,0.0118263218263
667,0.0257721907722,667,0.386275761276,667,0.0113501313501
668,0.0256785806786,668,0.386161801162,668,0.0113216413216
669,0.0255524105524,669,0.380659155659,669,0.0110448810449
670,0.0252227402227,670,0.377366522367,670,0.0110693010693
671,0.0247343397343,671,0.372441817442,671,0.0108698708699
672,0.0244128094128,672,0.365852480852,672,0.0106500906501
673,0.0244738594739,673,0.364798349798,673,0.0105646205646
674,0.0240709290709,674,0.36080974581,674,0.0105788655789
675,0.0239447589448,675,0.357981092981,675,0.0103489103489
676,0.0241604691605,676,0.357887482887,676,0.010182040182
677,0.0238552188552,677,0.354737299737,677,0.0102227402227
678,0.0240139490139,678,0.354928589929,678,0.0100192400192
679,0.0233627483627,679,0.348746253746,679,0.010002960003
680,0.0233912383912,680,0.347114182114,680,0.00990527990528
681,0.0232691382691,681,0.345876900877,681,0.00979538979539
682,0.0229028379028,682,0.339950974951,682,0.00964886964887
683,0.0227196877197,683,0.337781662782,683,0.00939652939653
684,0.0225019425019,684,0.330754800755,684,0.00945554445554
685,0.0224266474266,685,0.330003885004,685,0.00918081918082
686,0.0209248159248,686,0.315999000999,686,0.00832204832205
687,0.0174001924002,687,0.26371979872,687,0.00652717652718
688,0.0179740629741,688,0.266332741333,688,0.00684056684057
689,0.0182955932956,689,0.277936322936,689,0.00671032671033
690,0.0188491138491,690,0.28212028712,690,0.00709697709698
691,0.0191991341991,691,0.286861841862,691,0.00715802715803
692,0.0194677544678,692,0.29371979872,692,0.00753653753654
693,0.0194596144596,693,0.288909053909,693,0.0071620971621
694,0.0192032042032,694,0.28608040108,694,0.00721500721501
695,0.0193212343212,695,0.286694971695,695,0.00725163725164
696,0.019425019425,696,0.287964812965,696,0.00728216228216
697,0.0197323047323,697,0.294501239501,697,0.00741850741851
698,0.0193578643579,698,0.290357975358,698,0.00755281755282
699,0.0191177341177,699,0.283658748659,699,0.00706441706442
700,0.0188613238613,700,0.279360824361,700,0.00687312687313
701,0.0187351537352,701,0.275213490213,701,0.0067550967551
702,0.0184136234136,702,0.273284308284,702,0.00674695674696
703,0.0185804935805,703,0.273919228919,703,0.00670218670219
704,0.018608983609,704,0.275156510157,704,0.00686498686499
705,0.0188043438043,705,0.274948939949,705,0.0069585969586
706,0.0185764235764,706,0.27347966848,706,0.00671032671033
707,0.0187555037555,707,0.273919228919,707,0.00684056684057
